Rank,prior_std,max_offset,min_samples,overall_accuracy,regional_accuracy,cross_regional_accuracy,cross_improvement,overfitting,brier_score,max_offset_value,mean_confidence,n_cross_regional
24,15,50,10,0.7107692307692308,0.7311827956989247,0.5869565217391305,0.06525652173913044,-0.01856315415100096,0.15862359795424133,61.168241606150815,0.15200000000000005,46
25,25,60,15,0.7015384615384616,0.7240143369175627,0.5652173913043478,0.04351739130434773,-0.009332384920231696,0.15764304605966153,74.05827009072192,0.15200000000000005,46
26,25,60,20,0.7015384615384616,0.7240143369175627,0.5652173913043478,0.04351739130434773,-0.009332384920231696,0.15764304605966153,74.05827009072192,0.15200000000000005,46
27,20,60,20,0.7015384615384616,0.7240143369175627,0.5652173913043478,0.04351739130434773,-0.009332384920231696,0.15807061734739836,72.87181682604935,0.15200000000000005,46
28,25,60,10,0.7015384615384616,0.7240143369175627,0.5652173913043478,0.04351739130434773,-0.009332384920231696,0.15764304605966153,74.05827009072192,0.15200000000000005,46
29,10,50,10,0.7107692307692308,0.7347670250896058,0.5652173913043478,0.04351739130434773,-0.01856315415100096,0.15884116143262722,57.444349637216575,0.15200000000000005,46
30,20,60,15,0.7015384615384616,0.7240143369175627,0.5652173913043478,0.04351739130434773,-0.009332384920231696,0.15807061734739836,72.87181682604935,0.15200000000000005,46
31,10,70,10,0.7107692307692308,0.7347670250896058,0.5652173913043478,0.04351739130434773,-0.01856315415100096,0.15879639233980114,75.19438622447322,0.15200000000000005,46
32,10,50,20,0.7107692307692308,0.7347670250896058,0.5652173913043478,0.04351739130434773,-0.01856315415100096,0.15884116143262722,57.444349637216575,0.15200000000000005,46
33,10,60,10,0.7107692307692308,0.7347670250896058,0.5652173913043478,0.04351739130434773,-0.01856315415100096,0.15879927483752265,66.92876115501275,0.15200000000000005,46
34,10,50,15,0.7107692307692308,0.7347670250896058,0.5652173913043478,0.04351739130434773,-0.01856315415100096,0.15884116143262722,57.444349637216575,0.15200000000000005,46
35,10,80,20,0.7107692307692308,0.7347670250896058,0.5652173913043478,0.04351739130434773,-0.01856315415100096,0.15879639233980114,83.19438622447322,0.15200000000000005,46
36,10,80,15,0.7107692307692308,0.7347670250896058,0.5652173913043478,0.04351739130434773,-0.01856315415100096,0.15879639233980114,83.19438622447322,0.15200000000000005,46
37,10,60,15,0.7107692307692308,0.7347670250896058,0.5652173913043478,0.04351739130434773,-0.01856315415100096,0.15879927483752265,66.92876115501275,0.15200000000000005,46
38,10,60,20,0.7107692307692308,0.7347670250896058,0.5652173913043478,0.04351739130434773,-0.01856315415100096,0.15879927483752265,66.92876115501275,0.15200000000000005,46
39,20,60,10,0.7015384615384616,0.7240143369175627,0.5652173913043478,0.04351739130434773,-0.009332384920231696,0.15807061734739836,72.87181682604935,0.15200000000000005,46
40,10,80,10,0.7107692307692308,0.7347670250896058,0.5652173913043478,0.04351739130434773,-0.01856315415100096,0.15879639233980114,83.19438622447322,0.15200000000000005,46
41,10,70,20,0.7107692307692308,0.7347670250896058,0.5652173913043478,0.04351739130434773,-0.01856315415100096,0.15879639233980114,75.19438622447322,0.15200000000000005,46
42,10,70,15,0.7107692307692308,0.7347670250896058,0.5652173913043478,0.04351739130434773,-0.01856315415100096,0.15879639233980114,75.19438622447322,0.15200000000000005,46
43,25,50,20,0.6984615384615385,0.7240143369175627,0.5434782608695652,0.021778260869565136,-0.006255461843308607,0.1580073216302993,64.34501037303035,0.15200000000000005,46
44,25,50,15,0.6984615384615385,0.7240143369175627,0.5434782608695652,0.021778260869565136,-0.006255461843308607,0.1580073216302993,64.34501037303035,0.15200000000000005,46
45,25,50,10,0.6984615384615385,0.7240143369175627,0.5434782608695652,0.021778260869565136,-0.006255461843308607,0.1580073216302993,64.34501037303035,0.15200000000000005,46
46,20,50,15,0.6953846153846154,0.7240143369175627,0.5217391304347826,3.9130434782541634e-05,-0.003178538766385519,0.15831836895061027,63.24512858848366,0.15200000000000005,46
47,20,50,20,0.6953846153846154,0.7240143369175627,0.5217391304347826,3.9130434782541634e-05,-0.003178538766385519,0.15831836895061027,63.24512858848366,0.15200000000000005,46
48,20,50,10,0.6953846153846154,0.7240143369175627,0.5217391304347826,3.9130434782541634e-05,-0.003178538766385519,0.15831836895061027,63.24512858848366,0.15200000000000005,46
